dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_application/10S/long,FLAIR,4614719.681185,4648785.853816,1301.277126,3.118087,0.04425,0.045029,62.932104,2148.189862,0.082847,0.050185,0.045876,Web/CloudOps,2.0
bizitobs_l2c/5T/short,FLAIR,38.053987,38.674055,4.03517,0.407134,0.222701,0.255079,6.101872,6.168791,0.211861,0.138584,0.119158,Web/CloudOps,7.0
bizitobs_l2c/5T/medium,FLAIR,168.692497,169.675222,8.746778,0.838769,0.505861,0.851973,22.991513,12.988168,0.683369,0.460209,0.434712,Web/CloudOps,7.0
bizitobs_l2c/5T/long,FLAIR,244.4769,244.901897,11.148363,1.037409,0.711392,1.013531,34.831285,15.635757,0.877924,0.625964,0.604122,Web/CloudOps,7.0
bizitobs_l2c/H/short,FLAIR,79.850689,81.04185,5.843653,0.584091,0.539408,0.657619,7.531685,8.935921,0.481669,0.314988,0.266817,Web/CloudOps,7.0
bizitobs_l2c/H/medium,FLAIR,78.884638,78.678363,5.421253,0.54222,0.621303,0.786195,5.171357,8.881702,0.537801,0.328265,0.275321,Web/CloudOps,7.0
bizitobs_l2c/H/long,FLAIR,104.989338,104.983806,6.203341,0.654278,0.778234,0.846113,8.595932,10.24643,0.625882,0.378918,0.32845,Web/CloudOps,7.0
bizitobs_service/10S/short,FLAIR,605998.428223,605922.68773,154.74027,3.086034,0.175233,0.262737,98.674103,778.459009,0.576707,0.114637,0.111401,Web/CloudOps,2.0
bizitobs_service/10S/medium,FLAIR,602477.872692,602241.376597,153.662695,2.909154,0.162959,0.257419,87.940429,776.194481,0.584182,0.11565,0.112114,Web/CloudOps,2.0
bizitobs_service/10S/long,FLAIR,729774.613942,730117.685183,197.534894,3.1802,0.18037,0.280723,96.713707,854.268467,0.632869,0.14634,0.142735,Web/CloudOps,2.0
car_parts/M/short,FLAIR,1.792608,1.722412,0.660947,1.220509,0.732436,1.809945,16.901956,1.338883,3.210505,1.584883,1.356623,Sales,1.0
covid_deaths/D/short,FLAIR,6677828.2664,7059845.148225,463.456444,50.914718,0.183889,0.198496,1726.601088,2584.149428,0.972299,0.174378,0.162256,Healthcare,1.0
electricity/15T/short,FLAIR,285273.869738,284127.952507,91.546647,1.71214,0.248252,0.247647,23.925489,534.110354,1.052837,0.180456,0.156343,Energy,1.0
electricity/15T/medium,FLAIR,452238.921517,427089.279773,80.861118,1.341447,0.221844,0.198526,16.857183,672.487116,1.158763,0.139332,0.119783,Energy,1.0
electricity/15T/long,FLAIR,524945.353838,514218.382828,87.747024,1.414433,0.225281,0.201635,18.175687,724.531127,1.143037,0.138432,0.118711,Energy,1.0
electricity/D/short,FLAIR,5503783324.675714,5518612212.091473,7152.785961,1.903302,0.664162,0.120234,23.31726,74187.487656,1.219147,0.117544,0.10143,Energy,1.0
electricity/H/short,FLAIR,2163879.941408,2081725.952063,204.764984,1.081388,0.252251,0.140622,14.944926,1471.013236,0.694423,0.096664,0.082036,Energy,1.0
electricity/H/medium,FLAIR,7701766.388852,7651768.13739,277.308677,1.226978,0.256496,0.145049,14.995153,2775.205648,1.083254,0.108243,0.092043,Energy,1.0
electricity/H/long,FLAIR,12304463.204619,12128438.264422,317.266711,1.362672,0.317979,0.157039,19.716888,3507.771829,1.383464,0.12513,0.108268,Energy,1.0
electricity/W/short,FLAIR,481014101847.2584,419824328064.1828,62007.772924,2.278681,0.305302,0.130176,34.788293,693551.801848,1.582456,0.141481,0.128538,Energy,1.0
ett1/15T/short,FLAIR,7.195579,7.165317,1.412866,0.88313,0.505065,0.31439,8.842143,2.682458,0.507096,0.26709,0.222834,Energy,7.0
ett1/15T/medium,FLAIR,11.533485,11.490946,1.945585,1.223548,0.75362,0.485252,15.675397,3.396098,0.6473,0.37083,0.318716,Energy,7.0
ett1/15T/long,FLAIR,11.29666,11.189992,1.983541,1.272148,0.774484,0.495703,15.88132,3.36105,0.64062,0.378065,0.324104,Energy,7.0
ett1/D/short,FLAIR,51250.486327,51183.902926,153.891741,1.877311,1.069796,0.530517,14.447209,226.385703,0.59461,0.404202,0.315978,Energy,7.0
ett1/H/short,FLAIR,115.622165,114.197526,5.812741,0.956377,0.580656,0.295978,8.367719,10.752775,0.501876,0.271304,0.222333,Energy,7.0
ett1/H/medium,FLAIR,159.664138,154.791873,7.629981,1.399116,2257799293907.0454,0.461609,16.191042,12.635828,0.605226,0.365458,0.301674,Energy,7.0
ett1/H/long,FLAIR,171.499766,170.275494,7.868098,1.417609,3678765894207.1353,0.479754,16.195751,13.095792,0.627129,0.376786,0.310338,Energy,7.0
ett1/W/short,FLAIR,1472603.425705,1568082.427005,952.689838,1.614432,0.593575,0.577535,11.388831,1213.508725,0.482884,0.379098,0.30152,Energy,7.0
ett2/15T/short,FLAIR,9.286643,9.290982,1.986894,0.855299,0.121636,0.141824,9.03973,3.047399,0.144671,0.094325,0.07797,Energy,7.0
ett2/15T/medium,FLAIR,16.208221,16.285793,2.557266,1.033866,0.157264,0.18801,15.606158,4.025944,0.21455,0.136281,0.118613,Energy,7.0
ett2/15T/long,FLAIR,13.802551,13.69992,2.453061,1.013543,0.156623,0.186757,14.489647,3.715178,0.197989,0.130728,0.1131,Energy,7.0
ett2/D/short,FLAIR,172942.74734,172560.780098,270.115672,1.794398,0.370164,0.194781,13.569471,415.863857,0.23801,0.154594,0.123774,Energy,7.0
