dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,horizon,ttm_context_len,available_context_len,finetune_success,finetune_train_num_samples,finetune_valid_num_samples,insample_error
ett2/15T/long,TTM-R3-FT,10.924209817318797,10.924209817318797,2.120705103193282,2.120705103193282,0.8778907040406116,0.1337528450035845,0.1610462263697674,6.933134507145643,3.3051792413300065,0.1761389729384495,0.11301620623500012,0.09095303366301882,Energy,7,720,2048,62480,True,1001,1000,0
ett2/W/short,TTM-R3-FT,2229748.3400185653,2229748.3400185653,1002.1272212581591,1002.1272212581591,0.6296232222878092,0.1008197265512056,0.10623159525491356,9.052077199791416,1493.2341879352232,0.1252594322385163,0.084063094576699,0.07718906440472528,Energy,7,8,156,87,False,0,0,0
hierarchical_sales/D/short,TTM-R3-FT,29.029845447272834,29.029845447272834,2.3132605763695095,2.3132605763695095,0.7470020573928471,0.6266801765300626,1.0343156236606708,7.307410659037792,5.3879351747467075,1.6529588438296345,0.7096827270146538,0.5794699705804601,Sales,1,30,1024,1615,True,10118,1000,0
ett2/H/medium,TTM-R3-FT,232.08194712040776,232.08194712040776,9.58533631911597,9.58533631911597,1.0394583194864433,0.1744728487903597,0.1708205049819684,7.8266396971629115,15.234236020240981,0.2052911142786111,0.12916856290476658,0.10387325695757861,Energy,7,480,2048,15500,True,1001,1000,0
hierarchical_sales/W/short,TTM-R3-FT,471.5979260319741,471.5979260319741,9.1014155322307,9.1014155322307,0.7315311190567174,0.5593664011907122,0.4642192944056767,6.360710918517422,21.716305533676167,0.9970062092861892,0.4178504389181748,0.3512649048700819,Sales,1,8,156,228,True,1463,1000,0
ett1/H/long,TTM-R3-FT,139.7113495570512,139.7113495570512,6.974911576092513,6.974911576092513,1.333450388316787,4729723865783.589,0.45884619479417704,9.246755218737743,11.819955564935563,0.566032071758354,0.3340134087694004,0.2624779379277781,Energy,7,720,2048,15260,True,2150,1000,0
hospital/M/short,TTM-R3-FT,2613.3268617079225,2613.3268617079225,18.548416639685062,18.548416639685062,0.7788812533829188,0.18922863683809915,0.17909768705182683,5.0549966101783825,51.12070873636165,0.18558004366591635,0.06733505960722233,0.052697668736063547,Healthcare,1,12,156,72,True,1457,77,0
jena_weather/D/short,TTM-R3-FT,729.9097802826756,729.9097802826756,13.19558226527562,13.19558226527562,1.2293185755837825,1.0097843456022524,0.47712715839591346,8.663873210198354,27.01684252984933,0.1626855490113214,0.0794589724161372,0.06254446297932446,Nature,21,30,512,306,True,115,13,0
ett2/H/long,TTM-R3-FT,245.8336758242082,245.8336758242082,9.701780171292214,9.701780171292214,1.0782587664512762,0.18899994737753137,0.18618296356175745,8.248524193954129,15.67908402376262,0.21471298819114076,0.1328584124043627,0.10811222792173333,Energy,7,720,2048,15260,True,1001,1000,0
kdd_cup_2018/D/short,TTM-R3-FT,2921.8144553647267,2921.8144553647267,21.302508664497577,21.302508664497577,1.1989798552510722,0.5138802862272803,0.46844033393512075,9.500587619558631,54.053810738603126,1.2108627193186472,0.47719879907340584,0.3802029885222299,Nature,1,30,512,336,True,10270,1000,0
